´úÂë,¼ò³Æ,ÈÕÆÚ,ÊÕÅÌ¼Û(Ôª),
600439.SH,Èð±´¿¨,20050727,0.8514,
600439.SH,Èð±´¿¨,20050728,0.8611,
600439.SH,Èð±´¿¨,20050729,0.8592,
600439.SH,Èð±´¿¨,20050801,0.8562,
600439.SH,Èð±´¿¨,20050802,0.8562,
600439.SH,Èð±´¿¨,20050803,0.865,
600439.SH,Èð±´¿¨,20050804,0.8445,
600439.SH,Èð±´¿¨,20050805,0.8679,
600439.SH,Èð±´¿¨,20050808,0.9517,
600439.SH,Èð±´¿¨,20050809,0.979,
600439.SH,Èð±´¿¨,20050810,1.0179,
600439.SH,Èð±´¿¨,20050811,1.0306,
600439.SH,Èð±´¿¨,20050812,1.0598,
600439.SH,Èð±´¿¨,20050815,1.1105,
600439.SH,Èð±´¿¨,20050816,1.0949,
600439.SH,Èð±´¿¨,20050817,1.0832,
600439.SH,Èð±´¿¨,20050818,1.0257,
600439.SH,Èð±´¿¨,20050819,1.0267,
600439.SH,Èð±´¿¨,20050822,1.0413,
600439.SH,Èð±´¿¨,20050823,1.0355,
600439.SH,Èð±´¿¨,20050824,1.0569,
600439.SH,Èð±´¿¨,20050825,1.052,
600439.SH,Èð±´¿¨,20050826,1.051,
600439.SH,Èð±´¿¨,20050829,1.0452,
600439.SH,Èð±´¿¨,20050830,1.0267,
600439.SH,Èð±´¿¨,20050831,1.0403,
600439.SH,Èð±´¿¨,20050901,1.0851,
600439.SH,Èð±´¿¨,20050902,1.089,
600439.SH,Èð±´¿¨,20050905,1.0793,
600439.SH,Èð±´¿¨,20050906,1.0676,
